MEM = MEAN
TIME = 160212/0000
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.304

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
301.703149414,9320.28828125,-46.3525913239,-54.3731529236,33.9241506577,-53.064679718,-999.0
276.358209229,9896.44121094,-51.3427581787,-58.2286327362,38.2352298737,-52.9789409637,-999.0
252.715679932,10471.0100586,-56.0416530609,-62.081401062,42.5434761047,-54.2585086823,-999.0
230.682511902,11046.2495117,-59.4759243011,-66.2308486938,43.2749874115,-55.0013759613,-999.0
210.165354919,11627.2058594,-60.7885189056,-69.6216590881,42.5279117584,-48.5019836426,-999.0
191.080110168,12219.965332,-60.2111019135,-72.3946594238,47.3472072601,-37.3385574341,-999.0
173.349386597,12829.5935547,-58.5407142639,-76.0401512146,53.2251609802,-29.2790647507,-999.0
156.898674011,13457.6932617,-57.5410007477,-79.5042602539,56.582516861,-25.9597755432,-999.0
141.653890991,14102.2916016,-58.0938957214,-80.4403297424,56.9668254852,-24.296008873,-999.0
127.544707489,14760.2969727,-59.9119785309,-80.4478607178,55.9567306519,-21.4850566864,-999.0
114.506119537,15430.6853516,-61.8767173767,-80.4478607178,54.9734874725,-18.9225541115,-999.0
102.468556213,16116.8947266,-62.5810966492,-80.4478607178,53.3720146179,-17.6777023315,-999.0
91.3761543274,16824.9128906,-61.8013130188,-80.4478607178,47.4972103119,-17.3933779716,-999.0
81.1731613159,17559.9982422,-60.637991333,-80.4478607178,34.9942846298,-16.8782484055,-999.0
71.804095459,18324.5783203,-60.066468811,-80.4478607178,25.3924670219,-13.1092058182,-999.0
63.2182312012,19122.0052734,-58.8066673279,-80.4478607178,22.0724065781,-6.70515929461,-999.0
54.5579380035,20057.6357422,-57.6341438293,-80.4478607178,17.6815600395,-0.154808813334,-999.0


MEM = MEAN
TIME = 160212/0500
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 383.881

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
976.344006348,383.881390381,8.33182706833,0.830632612109,-1.87935161889,-0.972886736691,-999.0
968.641326904,449.49074707,9.70306577682,-0.280263008177,-3.65890902281,0.291974035278,-999.0
958.376702881,537.979870605,10.0386919975,-0.686403599381,-0.744140309095,0.433279278874,-999.0
945.338537598,651.842144775,10.1542684555,-0.983673045039,3.67599979639,0.188957940042,-999.0
929.242858887,794.817486572,10.8559894562,-2.89929964542,8.82788681984,-0.308985078335,-999.0
909.738214111,971.850732422,11.5890436172,-6.12329244614,11.7715393066,-3.40697747469,-999.0
886.430670166,1188.70406494,11.6413713455,-8.10239124298,11.9564787388,-7.26980036497,-999.0
858.958776855,1451.33775635,10.7725140572,-9.64447937012,12.0924584866,-11.1640828609,-999.0
827.371875,1762.49459229,9.18708162308,-11.8300550461,14.1790322304,-14.8698876381,-999.0
792.100671387,2121.87077637,7.04265899658,-14.069340992,15.9225736618,-17.2656051636,-999.0
753.614550781,2529.32080078,4.58680648804,-16.6012811661,17.7500458717,-19.3286258698,-999.0
712.415887451,2985.04123535,1.95833070278,-17.7582809448,20.5826616287,-20.7137981415,-999.0
669.012493896,3489.34650879,-1.17287095785,-14.9125588417,23.2836191177,-21.9664476395,-999.0
623.953839111,4041.93737793,-4.81699490547,-15.4669612885,27.1071174622,-24.6041828156,-999.0
578.969622803,4626.57363281,-8.34123659134,-19.3153749466,31.0267147064,-27.3030914307,-999.0
536.088922119,5219.1902832,-12.1195638657,-24.6256361008,32.6669782639,-30.5553581238,-999.0
495.824398804,5811.15541992,-16.4051013947,-27.9589986801,33.062537384,-33.8184396744,-999.0
458.042254639,6401.77192383,-20.9625551224,-30.1949270248,33.5096693039,-37.1074825287,-999.0
422.610223389,6990.65771484,-25.7511394501,-33.2322969437,33.5029937744,-40.299376297,-999.0
389.408584595,7577.40449219,-30.7066692352,-37.7023849487,33.2701704025,-42.9174957275,-999.0
358.329736328,8161.57910156,-35.793800354,-43.4492988586,33.4961769104,-44.9843742371,-999.0
329.257092285,8743.12802734,-40.976657486,-49.0863452911,34.3956220627,-47.1182220459,-999.0
302.076086426,9322.21464844,-46.150094223,-53.6563655853,36.212563324,-49.1644866943,-999.0
276.693453979,9898.98095703,-51.2006248474,-57.669272995,39.6739574432,-50.6171455383,-999.0
253.016183472,10473.9358398,-56.0265750885,-61.8987442017,43.7326190948,-51.7155475616,-999.0
230.950431824,11049.0711914,-59.7124847412,-66.0198135376,44.6900913239,-52.3203121185,-999.0
210.402967834,11629.9291992,-60.7834606171,-69.6163795471,43.2280773163,-46.965858078,-999.0
191.29009552,12223.3068359,-59.9451030731,-72.5666755676,47.2601184845,-35.2969608307,-999.0
173.533422852,12833.2822266,-58.7433773041,-75.8107513428,53.5435791016,-27.7250257492,-999.0
157.058526611,13461.2733398,-57.6181297302,-78.9701828003,57.1920722961,-23.0960947037,-999.0
141.790951538,14106.275293,-57.9741783142,-80.4181755066,57.6814548492,-20.7834734917,-999.0
127.660638428,14765.1916016,-59.6870365143,-80.4478607178,56.6372367859,-19.6131153107,-999.0
114.602453613,15437.0290039,-61.4583789825,-80.4478607178,54.8058761597,-19.9160593987,-999.0
102.546864319,16125.2616211,-62.057598877,-80.4478607178,51.0549137115,-20.8010162354,-999.0
91.4379547119,16835.2246094,-61.4980175018,-80.4478607178,43.8004955292,-19.7929222107,-999.0
81.2198982239,17571.6046875,-60.5676372528,-80.4478607178,33.2855754852,-17.045655632,-999.0
